0,无
8,中国其他
9,亚州地区
10,欧洲地区
11,境外其它
1000,美国
1009,加勒比海
1100,加拿大
2300,非洲
3100,中东
3300,法国
3400,西班牙
3800,乌克兰
3900,意大利
4400,英国
4900,德国
5200,墨西哥
5400,阿根廷
5500,巴西
5980,加勒比海
6000,马来西亚
6100,太平洋
6200,印度尼西亚
6300,菲律宾
6400,新加坡
6600,泰国
7000,俄罗斯
8100,日本
8200,韩国
8400,越南
8520,香港特区
8530,澳门特区
8609,中国其它
8610,北京
8620,广东省
8621,上海
8622,天津
8623,重庆
8624,辽宁省
8625,江苏省
8627,湖北省
8628,四川省
8629,陕西省
8631,河北省
8634,山西省
8637,河南省
8643,吉林省
8645,黑龙江省
8647,内蒙古自治区
8653,山东省
8655,安徽省
8657,浙江省
8659,福建省
8669,云南省
8670,江西省
8673,湖南省
8677,广西壮族自治区
8685,贵州省
8688,西藏自治区
8689,海南省
8690,新疆维吾尔自治区
8693,甘肃省
8695,宁夏回族自治区
8697,青海省
8860,台湾省
9000,土耳其
9100,印度
9660,沙特阿拉伯
100000,美国
100009,加勒比海
110000,加拿大
230009,非洲
310009,中东
330000,法国
340000,西班牙
380000,乌克兰
390000,意大利
440000,英国
490000,德国
520000,墨西哥
540000,阿根廷
550000,巴西
598009,加勒比海
600000,马来西亚
610009,太平洋
620000,印度尼西亚
630000,菲律宾
650000,新加坡
660000,泰国
700000,俄罗斯
810000,日本
820000,韩国
840000,越南
850000,特区
852000,香港特区
853000,澳门特区
860009,其他
861000,北京市
862000,广州市
862009,其他
862100,上海市
862200,天津市
862300,重庆市
862400,沈阳市
862409,其他
862500,南京市
862509,其他
862700,武汉市
862709,其他
862800,成都市
862809,其他
862900,西安市
862909,其他
863100,邯郸市
863110,石家庄市
863119,其他
863120,保定市
863130,张家口市
863140,承德市
863150,唐山市
863160,廊坊市
863170,沧州市
863180,衡水市
863190,邢台市
863350,秦皇岛市
863490,朔州市
863500,忻州市
863510,太原市
863519,其他
863520,大同市
863530,阳泉市
863540,晋中市
863550,长治市
863560,晋城市
863570,临汾市
863580,吕梁市
863590,运城市
863700,商丘市
863710,郑州市
863719,其他
863720,安阳市
863730,新乡市
863740,许昌市
863750,平顶山市
863760,信阳市
863770,南阳市
863780,开封市
863790,洛阳市
863910,焦作市
863920,鹤壁市
863930,濮阳市
863940,周口市
863950,漯河市
863960,驻马店市
863980,三门峡市
864100,铁岭市
864110,大连市
864120,鞍山市
864130,抚顺市
864140,本溪市
864150,丹东市
864160,锦州市
864170,营口市
864180,阜新市
864190,辽阳市
864210,朝阳市
864270,盘锦市
864290,葫芦岛市
864310,长春市
864319,其他
864320,吉林市
864330,延边州
864340,四平市
864350,通化市
864360,白城市
864370,辽源市
864380,松原市
864390,白山市
864510,哈尔滨市
864519,其他
864520,齐齐哈尔市
864530,牡丹江市
864540,佳木斯市
864550,绥化市
864560,黑河市
864570,大兴安岭地区
864580,伊春市
864590,大庆市
864640,七台河市
864670,鸡西市
864680,鹤岗市
864690,双鸭山市
864700,呼伦贝尔市
864710,呼和浩特市
864719,其他
864720,包头市
864730,乌海市
864740,乌兰察布盟
864750,通辽市
864760,赤峰市
864770,鄂尔多斯市
864780,巴彦淖尔盟
864790,锡林郭勒盟
864820,兴安盟
864830,阿拉善盟
865100,无锡市
865110,镇江市
865120,苏州市
865130,南通市
865140,扬州市
865150,盐城市
865160,徐州市
865170,淮安市
865180,连云港市
865190,常州市
865230,泰州市
865270,宿迁市
865300,菏泽市
865310,济南市
865319,其他
865320,青岛市
865330,淄博市
865340,德州市
865350,烟台市
865360,潍坊市
865370,济宁市
865380,泰安市
865390,临沂市
865430,滨州市
865460,东营市
865500,滁州市
865510,合肥市
865519,其他
865520,蚌埠市
865530,芜湖市
865540,淮南市
865550,马鞍山市
865560,安庆市
865570,宿州市
865580,阜阳市
865581,亳州市
865590,黄山市
865620,铜陵市
865630,宣城市
865640,六安市
865650,巢湖市
865660,池州市
865700,衢州市
865710,杭州市
865719,其他
865720,湖州市
865730,嘉兴市
865740,宁波市
865750,绍兴市
865760,台州市
865770,温州市
865780,丽水市
865790,金华市
865800,舟山市
865910,福州市
865919,其他
865920,厦门市
865930,宁德市
865940,莆田市
865950,泉州市
865960,漳州市
865970,龙岩市
865980,三明市
865990,南平市
866310,威海市
866320,枣庄市
866330,日照市
866340,莱芜市
866350,聊城市
866600,汕尾市
866620,阳江市
866630,揭阳市
866680,茂名市
866910,西双版纳州
866920,德宏州
867010,鹰潭市
867100,襄樊市
867110,鄂州市
867120,孝感市
867130,黄冈市
867140,黄石市
867150,咸宁市
867160,荆州市
867170,宜昌市
867180,恩施州
867190,十堰市
867220,随州市
867240,荆门市
867280,潜江市
867281,天门市
867282,仙桃市
867300,岳阳市
867310,长沙市
867319,其他
867320,湘潭市
867330,株洲市
867340,衡阳市
867350,郴州市
867360,常德市
867370,益阳市
867380,娄底市
867390,邵阳市
867430,湘西州
867440,张家界市
867450,怀化市
867460,永州市
867500,江门市
867510,韶关市
867520,惠州市
867530,梅州市
867540,汕头市
867550,深圳市
867560,珠海市
867570,佛山市
867580,肇庆市
867590,湛江市
867600,中山市
867620,河源市
867630,清远市
867660,云浮市
867680,潮州市
867690,东莞市
867700,防城港市
867710,南宁市
867711,崇左市
867719,其他
867720,柳州市
867721,来宾市
867730,桂林市
867740,梧州市
867741,贺州市
867750,贵港市
867751,玉林市
867760,百色市
867770,钦州市
867780,河池市
867790,北海市
867900,新余市
867910,南昌市
867919,其他
867920,九江市
867930,上饶市
867940,抚州市
867950,宜春市
867960,吉安市
867970,赣州市
867980,景德镇市
867990,萍乡市
868120,攀枝花市
868130,自贡市
868160,绵阳市
868170,南充市
868180,达州市
868250,遂宁市
868260,广安市
868270,巴中市
868300,泸州市
868310,宜宾市
868320,内江市
868321,资阳市
868330,乐山市
868331,眉山市
868340,凉山州
868350,雅安市
868360,甘孜州
868370,阿坝州
868380,德阳市
868390,广元市
868510,贵阳市
868519,其他
868520,遵义市
868530,安顺市
868540,黔南州
868550,黔东南州
868560,铜仁地区
868570,毕节地区
868580,六盘水市
868590,黔西南州
868610,淮北市
868700,昭通市
868710,昆明市
868719,其他
868720,大理州
868730,红河州
868740,曲靖市
868750,保山市
868760,文山州
868770,玉溪市
868780,楚雄州
868790,思茅地区
868830,临沧地区
868860,怒江州
868870,迪庆州
868880,丽江市
868910,拉萨市
868919,其他
868920,日喀则地区
868930,山南地区
868940,林芝地区
868950,昌都地区
868960,那曲地区
868970,阿里地区
868980,海口市
868981,三亚市
868989,其他
869010,塔城地区
869020,哈密地区
869030,和田地区
869060,阿勒泰地区
869080,克孜勒苏州
869090,博尔塔拉州
869100,咸阳市
869110,延安市
869120,榆林市
869130,渭南市
869140,商洛市
869150,安康市
869160,汉中市
869170,宝鸡市
869190,铜川市
869300,临夏州
869310,兰州市
869319,其他
869320,定西地区
869330,平凉市
869340,庆阳市
869350,金昌市
869351,武威市
869352,陇南地区
869360,张掖市
869370,嘉峪关市
869371,酒泉市
869380,天水市
869410,甘南州
869430,白银市
869510,银川市
869519,其他
869520,石嘴山市
869530,吴忠市
869540,固原市
869700,海北州
869710,西宁市
869719,其他
869720,海东地区
869730,黄南州
869740,海南州
869750,果洛州
869760,玉树州
869770,海西州
869900,克拉玛依市
869910,乌鲁木齐市
869919,其他
869920,省直辖
869940,昌吉州
869950,吐鲁番地区
869960,巴音郭楞州
869970,阿克苏地区
869980,喀什地区
869990,伊犁州
886000,台北市
900000,土耳其
910000,印度
966000,沙特阿拉伯
